customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,RecordDate
9925-ITHIN,Male,0,No,No,60,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,73.77,4448.47,Yes,2024-09-01
7856-JDDOU,Female,0,No,No,65,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,124.07,7997.57,Yes,2024-09-01
7044-KUVHI,Male,0,No,Yes,29,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Mailed check,126.72,3585.01,Yes,2024-09-01
3424-FKJLS,Male,0,No,No,49,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),115.55,5609.2,No,2024-09-01
2450-PYHGB,Male,1,Yes,No,29,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,130.41,3849.6,Yes,2024-09-01
4182-PPNTL,Male,1,Yes,No,7,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),117.31,802.76,Yes,2024-09-01
2639-NZXQG,Male,1,Yes,No,8,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,175.94,1410.75,Yes,2024-09-01
2962-QHXDN,Female,1,No,No,22,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),122.56,2704.49,Yes,2024-09-01
5159-RSAXQ,Female,0,Yes,No,26,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),101.5,2716.57,Yes,2024-09-01
5829-IWDJC,Male,1,Yes,Yes,18,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),77.12,1373.15,Yes,2024-09-01
1079-YBLVI,Male,0,Yes,No,23,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,71.59,1668.92,Yes,2024-09-01
5022-MJZSY,Female,0,No,No,20,Yes,No,DSL,No,No,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),113.03,2305.23,Yes,2024-09-01
2006-MFXGG,Female,0,No,No,53,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,134.01,6978.61,Yes,2024-09-01
