customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,RecordDate
8680-KSWRG,Male,0,Yes,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),33.66,925.84,No,2023-01-01
4837-DYDMX,Male,0,Yes,No,35,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,No,Credit card (automatic),128.78,4551.5,No,2023-01-01
6292-BWHBV,Female,1,No,Yes,25,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Electronic check,156.03,3795.24,No,2023-01-01
3556-XPLEH,Male,0,Yes,No,33,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),148.83,4783.61,Yes,2023-01-01
5350-ZOTCN,Male,0,Yes,Yes,57,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,65.59,3662.12,Yes,2023-01-01
2638-FRSIY,Male,0,Yes,No,11,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,76.83,827.28,Yes,2023-01-01
8319-PTYJC,Male,0,Yes,Yes,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),46.86,910.16,Yes,2023-01-01
6661-AJFWT,Female,1,Yes,Yes,29,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,135.84,3933.21,Yes,2023-01-01
2003-RFDDX,Female,0,No,No,21,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),116.6,2404.18,Yes,2023-01-01
7746-OBMGT,Male,0,Yes,Yes,39,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,129.95,4980.3,Yes,2023-01-01
1544-URAOM,Female,0,Yes,No,27,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,170.13,4484.23,Yes,2023-01-01
9004-RPELG,Female,0,Yes,No,29,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,114.59,3275.82,Yes,2023-01-01
4405-JFKEM,Female,1,Yes,No,5,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,156.79,765.5,Yes,2023-01-01
3519-FJPEB,Male,0,No,No,36,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),150.69,5297.23,Yes,2023-01-01
1664-OOWOO,Male,0,Yes,No,54,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,145.6,7971.4,Yes,2023-01-01
2715-BEJTO,Male,0,No,No,50,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),141.86,7005.72,Yes,2023-01-01
3336-FHUSZ,Male,0,Yes,No,15,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,111.97,1702.43,Yes,2023-01-01
9575-PENOP,Female,0,No,No,13,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),156.56,2074.78,No,2023-01-01
8005-SENSD,Male,0,No,No,39,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,151.64,5938.06,Yes,2023-01-01
3881-ZGWOE,Female,0,Yes,Yes,34,Yes,Yes,DSL,No,No,Yes,No,No,Yes,One year,No,Electronic check,123.46,4118.29,Yes,2023-01-01
5567-RTYWT,Male,1,Yes,Yes,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,40.01,780.45,Yes,2023-01-01
8487-EFMVP,Male,1,Yes,No,5,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,184.14,932.55,Yes,2023-01-01
1984-OXGSO,Male,0,Yes,No,30,Yes,No,DSL,Yes,No,No,No,No,Yes,Two year,Yes,Electronic check,91.99,2699.04,No,2023-01-01
2051-LZUBT,Male,0,Yes,No,60,Yes,Yes,DSL,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),128.86,7679.65,No,2023-01-01
1204-RWTDN,Male,0,Yes,No,44,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,169.12,7254.45,Yes,2023-01-01
7325-HQLTR,Female,1,Yes,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,55.27,619.79,Yes,2023-01-02
4107-WDSSF,Female,0,Yes,Yes,4,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),134.09,534.19,Yes,2023-01-02
7814-XAPPQ,Female,0,Yes,Yes,36,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,No,Mailed check,152.9,5582.57,No,2023-01-02
3653-LMCWC,Female,1,No,No,26,No,No phone service,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),90.2,2299.12,No,2023-01-02
6586-EEPLV,Male,1,No,No,35,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),79.55,2839.01,Yes,2023-01-02
3562-WNTLL,Female,0,No,Yes,12,No,No phone service,DSL,No,No,Yes,No,No,Yes,One year,No,Credit card (automatic),85.99,1051.35,No,2023-01-02
1538-MXCGY,Female,0,Yes,No,18,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),134.57,2391.53,Yes,2023-01-02
6986-KIHMJ,Female,0,Yes,No,63,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,114.28,7230.27,Yes,2023-01-02
1594-OWAPL,Female,1,No,Yes,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),46.94,1875.52,No,2023-01-02
8126-ELRBS,Male,0,No,Yes,34,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),22.07,728.02,Yes,2023-01-02
6131-AXKWQ,Female,0,No,No,27,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),161.88,4392.43,Yes,2023-01-02
2899-DTHIS,Female,1,No,Yes,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,45.86,2335.37,No,2023-01-02
2886-PTCCK,Female,0,Yes,No,26,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Two year,No,Mailed check,140.25,3701.78,Yes,2023-01-02
1677-OUORD,Female,0,Yes,No,20,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,160.61,3240.4,Yes,2023-01-02
